sourceAssetPath,lineNumber,propertyName,referenceType,guid,context,details
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,900,m_HighlightedSprite,sprite,48624f05b683e4a4ab1a142e40fd6971,"m_FadeDuration: 0.1 | m_SpriteState: | m_HighlightedSprite: {fileID: 21300000, guid: 48624f05b683e4a4ab1a142e40fd6971, | type: 3}","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,902,m_PressedSprite,sprite,48624f05b683e4a4ab1a142e40fd6971,"m_HighlightedSprite: {fileID: 21300000, guid: 48624f05b683e4a4ab1a142e40fd6971, | type: 3} | m_PressedSprite: {fileID: 21300000, guid: 48624f05b683e4a4ab1a142e40fd6971, type: 3} | m_DisabledSprite: {fileID: 0}","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,947,m_Sprite,sprite,5ec8fc5d939ea2244985ca77a114c9d0,"m_TypeName: UnityEngine.UI.MaskableGraphic+CullStateChangedEvent, UnityEngine.UI, | Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | m_Sprite: {fileID: 21300000, guid: 5ec8fc5d939ea2244985ca77a114c9d0, type: 3} | m_Type: 0","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,1293,m_Sprite,sprite,3783f195e2c8dc84cb1461fbe881e9cb,"m_TypeName: UnityEngine.UI.MaskableGraphic+CullStateChangedEvent, UnityEngine.UI, | Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | m_Sprite: {fileID: 21300000, guid: 3783f195e2c8dc84cb1461fbe881e9cb, type: 3} | m_Type: 0","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,1421,m_Sprite,sprite,6ca93523b0317c242b05932fedb07cb3,"m_TypeName: UnityEngine.UI.MaskableGraphic+CullStateChangedEvent, UnityEngine.UI, | Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | m_Sprite: {fileID: 21300000, guid: 6ca93523b0317c242b05932fedb07cb3, type: 3} | m_Type: 0","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,2279,- {fileID,material,7b43a19f99847f94f8e4ab851c1cb07c,"m_RendererPriority: 0 | m_Materials: | - {fileID: 2100000, guid: 7b43a19f99847f94f8e4ab851c1cb07c, type: 2} | m_StaticBatchInfo:","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,2372,m_HighlightedSprite,sprite,5cc9c4a6db9a74a40aaed761fc99294c,"m_FadeDuration: 0.1 | m_SpriteState: | m_HighlightedSprite: {fileID: 21300000, guid: 5cc9c4a6db9a74a40aaed761fc99294c, | type: 3}","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,2374,m_PressedSprite,sprite,5cc9c4a6db9a74a40aaed761fc99294c,"m_HighlightedSprite: {fileID: 21300000, guid: 5cc9c4a6db9a74a40aaed761fc99294c, | type: 3} | m_PressedSprite: {fileID: 21300000, guid: 5cc9c4a6db9a74a40aaed761fc99294c, type: 3} | m_DisabledSprite: {fileID: 0}","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,2419,m_Sprite,sprite,a2bcf923df54ffa4ba7e795955c5dc22,"m_TypeName: UnityEngine.UI.MaskableGraphic+CullStateChangedEvent, UnityEngine.UI, | Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | m_Sprite: {fileID: 21300000, guid: a2bcf923df54ffa4ba7e795955c5dc22, type: 3} | m_Type: 0","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,2919,m_Sprite,sprite,c474936d3f7aa204d8939cbe05170aa5,"m_TypeName: UnityEngine.UI.MaskableGraphic+CullStateChangedEvent, UnityEngine.UI, | Version=1.0.0.0, Culture=neutral, PublicKeyToken=null | m_Sprite: {fileID: 21300000, guid: c474936d3f7aa204d8939cbe05170aa5, type: 3} | m_Type: 0","GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,4556,m_HighlightedSprite,sprite,90cdb91b8028d984b9adf63a23402f86,"m_FadeDuration: 0.1 | m_SpriteState: | m_HighlightedSprite: {fileID: 21300000, guid: 90cdb91b8028d984b9adf63a23402f86, | type: 3}","GUID could not be resolved from project, package, or package cache metadata."
