sourceAssetPath,sourceKind,sceneName,hierarchyPath,nearestPrefabRoot,componentType,propertyName,issueType,assetType,assetPath,shaderName,size,details
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Btn_SlowMo,,Button,m_HighlightedSprite,unresolved_guid,sprite,,,80x80,"Unresolved sprite GUID 48624f05b683e4a4ab1a142e40fd6971. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Btn_SlowMo,,Button,m_PressedSprite,unresolved_guid,sprite,,,80x80,"Unresolved sprite GUID 48624f05b683e4a4ab1a142e40fd6971. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Btn_SlowMo,,Image,m_Sprite,unresolved_guid,sprite,,,80x80,"Unresolved sprite GUID 5ec8fc5d939ea2244985ca77a114c9d0. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Btn_PrevEffect,,Image,m_Sprite,unresolved_guid,sprite,,,60x60,"Unresolved sprite GUID 3783f195e2c8dc84cb1461fbe881e9cb. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Btn_NextEffect,,Image,m_Sprite,unresolved_guid,sprite,,,60x60,"Unresolved sprite GUID 6ca93523b0317c242b05932fedb07cb3. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Ground,,Class23,- {fileID,unresolved_guid,material,,,,"Unresolved material GUID 7b43a19f99847f94f8e4ab851c1cb07c. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Btn_ShowGround,,Button,m_HighlightedSprite,unresolved_guid,sprite,,,80x80,"Unresolved sprite GUID 5cc9c4a6db9a74a40aaed761fc99294c. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Btn_ShowGround,,Button,m_PressedSprite,unresolved_guid,sprite,,,80x80,"Unresolved sprite GUID 5cc9c4a6db9a74a40aaed761fc99294c. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Btn_ShowGround,,Image,m_Sprite,unresolved_guid,sprite,,,80x80,"Unresolved sprite GUID a2bcf923df54ffa4ba7e795955c5dc22. GUID could not be resolved from project, package, or package cache metadata."
Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX Free Demo.unity,Scene,CFX Free Demo,Canvas/Logo,,Image,m_Sprite,unresolved_guid,sprite,,,338x45,"Unresolved sprite GUID c474936d3f7aa204d8939cbe05170aa5. GUID could not be resolved from project, package, or package cache metadata."
